SDG,keyword,frequency,elsevier_word,max_weight,relevance_score
6,sewage,70,True,6.63,464.09999999999997
6,wastewater,69,True,39.04,2693.7599999999998
6,groundwater,57,True,9.81,559.1700000000001
6,water,52,True,13.48,700.96
6,drainage,51,,3.35,170.85
6,sewer,48,True,4.63,222.24
6,sewerage,40,,3.35,134.0
6,effluent,39,True,9.46,368.94000000000005
6,stormwater,34,True,4.67,158.78
6,wastewater treatment,33,True,11.03,363.98999999999995
6,irrigation,33,True,10.4,343.2
6,sewage treatment,33,True,10.23,337.59000000000003
6,landfill,32,,3.35,107.2
6,raw sewage,31,,3.35,103.85000000000001
6,reservoir,30,,3.35,100.5
6,contaminants,29,True,3.81,110.49
6,arsenic,28,True,5.29,148.12
6,waterworks,28,,3.35,93.8
6,contaminated soil,27,,3.35,90.45
6,aquifer,26,,3.35,87.10000000000001
6,septic systems,26,,3.35,87.10000000000001
6,septic tanks,26,,3.35,87.10000000000001
6,sanitary sewer,25,,3.35,83.75
6,pollution,24,True,5.81,139.44
6,potable water,24,True,3.79,90.96000000000001
6,stormwater runoff,24,,3.35,80.4
6,chlorine,24,,3.35,80.4
6,pollutants,24,,3.35,80.4
6,water quality,23,True,21.35,491.05
6,contamination,23,True,8.45,194.35
6,septic,23,,3.35,77.05
6,aquifers,23,,3.35,77.05
6,storm drains,22,,3.35,73.7
6,pesticides,22,,3.35,73.7
6,sediment,21,,3.35,70.35000000000001
6,nitrates,21,,3.35,70.35000000000001
6,sanitary,20,True,3.77,75.4
6,biosolids,20,,3.35,67.0
6,water mains,20,,3.35,67.0
6,lagoons,20,,3.35,67.0
6,hazardous waste,20,,3.35,67.0
6,water supply,19,True,8.12,154.27999999999997
6,sludge,19,True,4.27,81.13
6,septic tank,19,,3.35,63.65
6,desalination,18,True,17.76,319.68
6,sanitation,18,True,13.3,239.4
6,waste,18,True,3.48,62.64
6,wetlands,18,,3.35,60.300000000000004
6,pollutant,18,,3.35,60.300000000000004
6,hazardous chemicals,18,,3.35,60.300000000000004
6,polluted,17,True,3.73,63.41
6,reverse osmosis,17,,3.35,56.95
6,watershed,17,,3.35,56.95
6,sewers,17,,3.35,56.95
6,reservoirs,17,,3.35,56.95
6,fire hydrants,17,,3.35,56.95
6,waterways,17,,3.35,56.95
6,rainwater,17,,3.35,56.95
6,dams,17,,3.35,56.95
6,toxic chemicals,17,,3.35,56.95
6,contaminant,16,True,4.23,67.68
6,waste disposal,16,,3.35,53.6
6,phosphorus,16,,3.35,53.6
6,phosphorous,16,,3.35,53.6
6,toxins,16,,3.35,53.6
6,contaminated,15,True,6.19,92.85000000000001
6,water works,15,,3.35,50.25
6,watersheds,15,,3.35,50.25
6,silt,15,,3.35,50.25
6,seepage,15,,3.35,50.25
6,chloride,15,,3.35,50.25
6,pcbs,15,,3.35,50.25
6,bacteria,15,,3.35,50.25
6,solid waste,14,,3.35,46.9
6,solid waste management,14,,3.35,46.9
6,public works,14,,3.35,46.9
6,desalination plant,14,,3.35,46.9
6,filtration,14,,3.35,46.9
6,dredging,14,,3.35,46.9
6,toxic waste,14,,3.35,46.9
6,hydrants,14,,3.35,46.9
6,nitrate,14,,3.35,46.9
6,landfills,14,,3.35,46.9
6,dioxins,14,,3.35,46.9
6,toxic substances,14,,3.35,46.9
6,solvents,14,,3.35,46.9
6,toxic,14,,3.35,46.9
6,water resources,13,True,5.49,71.37
6,fluoride,13,True,4.65,60.45
6,reclamation,13,,3.35,43.550000000000004
6,dam,13,,3.35,43.550000000000004
6,culverts,13,,3.35,43.550000000000004
6,manure,13,,3.35,43.550000000000004
6,ponds,13,,3.35,43.550000000000004
6,toxin,13,,3.35,43.550000000000004
6,benzene,13,,3.35,43.550000000000004
6,hydrogen sulfide,13,,3.35,43.550000000000004
6,deq,12,,3.35,40.2
6,garbage,12,,3.35,40.2
6,drains,12,,3.35,40.2
6,aqueduct,12,,3.35,40.2
6,storage tanks,12,,3.35,40.2
6,perchlorate,12,,3.35,40.2
6,wetland,12,,3.35,40.2
6,methane,12,,3.35,40.2
6,tritium,12,,3.35,40.2
6,nitrogen,12,,3.35,40.2
6,ammonia,12,,3.35,40.2
6,pesticide,12,,3.35,40.2
6,harmful chemicals,12,,3.35,40.2
6,volatile organic compounds,12,,3.35,40.2
6,chemicals,12,,3.35,40.2
6,trace amounts,12,,3.35,40.2
6,particulates,12,,3.35,40.2
6,chromium,12,,3.35,40.2
6,pfoa,12,,3.35,40.2
6,dioxin,12,,3.35,40.2
6,water conservation,11,,3.35,36.85
6,flood control,11,,3.35,36.85
6,floodplain,11,,3.35,36.85
6,seawater,11,,3.35,36.85
6,wells,11,,3.35,36.85
6,estuary,11,,3.35,36.85
6,waterline,11,,3.35,36.85
6,tailings,11,,3.35,36.85
6,leaching,11,,3.35,36.85
6,compost,11,,3.35,36.85
6,composting,11,,3.35,36.85
6,municipal,11,,3.35,36.85
6,hazardous substances,11,,3.35,36.85
6,carcinogens,11,,3.35,36.85
6,vocs,11,,3.35,36.85
6,mercury,11,,3.35,36.85
6,radioactive material,11,,3.35,36.85
6,radioactive,11,,3.35,36.85
6,disinfection,10,True,5.08,50.8
6,public works director,10,,3.35,33.5
6,electricity,10,,3.35,33.5
6,garbage disposal,10,,3.35,33.5
6,wasa,10,,3.35,33.5
6,soils,10,,3.35,33.5
6,gutters,10,,3.35,33.5
6,subdivision,10,,3.35,33.5
6,brine,10,,3.35,33.5
6,radioactivity,10,,3.35,33.5
6,toxicity,10,,3.35,33.5
6,hazardous materials,10,,3.35,33.5
6,coal ash,10,,3.35,33.5
6,utilities,9,,3.35,30.150000000000002
6,utility,9,,3.35,30.150000000000002
6,clean water,9,,3.35,30.150000000000002
6,waste management,9,,3.35,30.150000000000002
6,lagoon,9,,3.35,30.150000000000002
6,canal,9,,3.35,30.150000000000002
6,freshwater,9,,3.35,30.150000000000002
6,river basin,9,,3.35,30.150000000000002
6,basin,9,,3.35,30.150000000000002
6,culvert,9,,3.35,30.150000000000002
6,flood plain,9,,3.35,30.150000000000002
6,impurities,9,,3.35,30.150000000000002
6,vapors,9,,3.35,30.150000000000002
6,residues,9,,3.35,30.150000000000002
6,carcinogen,9,,3.35,30.150000000000002
6,toxic fumes,9,,3.35,30.150000000000002
6,radioactive waste,9,,3.35,30.150000000000002
6,chemical,9,,3.35,30.150000000000002
6,curbside recycling,8,,3.35,26.8
6,incinerator,8,,3.35,26.8
6,salinity,8,,3.35,26.8
6,estuaries,8,,3.35,26.8
6,solids,8,,3.35,26.8
6,biogas,8,,3.35,26.8
6,recycling,8,,3.35,26.8
6,incinerators,8,,3.35,26.8
6,e. coli bacteria,8,,3.35,26.8
6,sediments,8,,3.35,26.8
6,radioactive materials,8,,3.35,26.8
6,tce,8,,3.35,26.8
6,asbestos,8,,3.35,26.8
6,phthalates,8,,3.35,26.8
6,public utilities,7,,3.35,23.45
6,public utility,7,,3.35,23.45
6,allied waste,7,,3.35,23.45
6,disposal,7,,3.35,23.45
6,environmental protection,7,,3.35,23.45
6,veolia,7,,3.35,23.45
6,environmental,7,,3.35,23.45
6,dep,7,,3.35,23.45
6,cooling towers,7,,3.35,23.45
6,soil,7,,3.35,23.45
6,rivers,7,,3.35,23.45
6,lakes,7,,3.35,23.45
6,radiation,7,,3.35,23.45
6,catchment,7,,3.35,23.45
6,irrigate,7,,3.35,23.45
6,lake,7,,3.35,23.45
6,retaining walls,7,,3.35,23.45
6,sinkholes,7,,3.35,23.45
6,clean water act,7,,3.35,23.45
6,tributary,7,,3.35,23.45
6,selenium,7,,3.35,23.45
6,zoning,7,,3.35,23.45
6,substances,7,,3.35,23.45
6,e. coli,7,,3.35,23.45
6,hazardous material,7,,3.35,23.45
6,creek,7,,3.35,23.45
6,topsoil,7,,3.35,23.45
6,gravel pit,7,,3.35,23.45
6,carbon monoxide,7,,3.35,23.45
6,carcinogenic,7,,3.35,23.45
6,cadmium,7,,3.35,23.45
6,canals,7,,3.35,23.45
6,riparian,6,True,3.4,20.4
6,gallons,6,,3.35,20.1
6,code enforcement,6,,3.35,20.1
6,flooding,6,,3.35,20.1
6,irrigators,6,,3.35,20.1
6,roads,6,,3.35,20.1
6,basins,6,,3.35,20.1
6,tributaries,6,,3.35,20.1
6,manholes,6,,3.35,20.1
6,garbage pickup,6,,3.35,20.1
6,gasification,6,,3.35,20.1
6,mains,6,,3.35,20.1
6,pathogens,6,,3.35,20.1
6,organic compounds,6,,3.35,20.1
6,radon,6,,3.35,20.1
6,contaminating,6,,3.35,20.1
6,potentially harmful,6,,3.35,20.1
6,gases,6,,3.35,20.1
6,particulate matter,6,,3.35,20.1
6,superfund site,6,,3.35,20.1
6,creeks,6,,3.35,20.1
6,retention pond,6,,3.35,20.1
6,salts,6,,3.35,20.1
6,formaldehyde,6,,3.35,20.1
6,air pollution,6,,3.35,20.1
6,bottled water,5,True,4.82,24.1
6,dpw,5,,3.35,16.75
6,environmental quality,5,,3.35,16.75
6,fertilizer,5,,3.35,16.75
6,overflows,5,,3.35,16.75
6,debris,5,,3.35,16.75
6,gas,5,,3.35,16.75
6,conservation,5,,3.35,16.75
6,thames water,5,,3.35,16.75
6,hydro,5,,3.35,16.75
6,hydrant,5,,3.35,16.75
6,headwaters,5,,3.35,16.75
6,irrigated,5,,3.35,16.75
6,highways,5,,3.35,16.75
6,soil erosion,5,,3.35,16.75
6,subsidence,5,,3.35,16.75
6,slurry,5,,3.35,16.75
6,wastes,5,,3.35,16.75
6,ratepayers,5,,3.35,16.75
6,water purification,5,,3.35,16.75
6,purification,5,,3.35,16.75
6,hydropower,5,,3.35,16.75
6,selectmen,5,,3.35,16.75
6,greenway,5,,3.35,16.75
6,drip irrigation,5,,3.35,16.75
6,faucets,5,,3.35,16.75
6,harmful bacteria,5,,3.35,16.75
6,allergens,5,,3.35,16.75
6,contaminate,5,,3.35,16.75
6,bacterial,5,,3.35,16.75
6,byproducts,5,,3.35,16.75
6,chemical compounds,5,,3.35,16.75
6,salmonella,5,,3.35,16.75
