SDG,keyword,frequency,elsevier_word,max_weight,relevance_score
14,fisheries,40,True,9.39,375.6
14,fishery,38,True,4.17,158.46
14,lobster,36,,3.21,115.56
14,shrimp,35,True,3.53,123.55
14,seafood,35,,3.21,112.35
14,fish,34,True,4.85,164.89999999999998
14,crab,32,,3.21,102.72
14,fishing,31,True,4.95,153.45000000000002
14,salmon,29,,3.21,93.09
14,fishermen,27,,3.21,86.67
14,oysters,27,,3.21,86.67
14,aquaculture,25,True,10.59,264.75
14,tuna,24,True,3.21,77.03999999999999
14,catfish,24,,3.21,77.03999999999999
14,ocean,23,True,10.62,244.26
14,shellfish,23,True,3.77,86.71
14,fisherman,23,,3.21,73.83
14,oyster,23,,3.21,73.83
14,whales,23,,3.21,73.83
14,mussels,22,,3.21,70.62
14,whale,22,,3.21,70.62
14,oceans,21,True,6.3,132.29999999999998
14,herring,21,,3.21,67.41
14,reef,21,,3.21,67.41
14,grouper,20,,3.21,64.2
14,rockfish,20,,3.21,64.2
14,halibut,19,,3.21,60.99
14,trout,19,,3.21,60.99
14,coastal,18,True,13.63,245.34
14,sea,18,True,11.77,211.85999999999999
14,bluefin tuna,18,,3.21,57.78
14,striped bass,18,,3.21,57.78
14,crabs,18,,3.21,57.78
14,cod,17,,3.21,54.57
14,red snapper,17,,3.21,54.57
14,scallop,17,,3.21,54.57
14,mackerel,17,,3.21,54.57
14,reefs,17,,3.21,54.57
14,marine,16,True,19.68,314.88
14,coral,16,True,4.0,64.0
14,abalone,16,,3.21,51.36
14,lobsters,16,,3.21,51.36
14,wild salmon,16,,3.21,51.36
14,sturgeon,16,,3.21,51.36
14,swordfish,16,,3.21,51.36
14,estuaries,16,,3.21,51.36
14,islands,16,,3.21,51.36
14,crustaceans,16,,3.21,51.36
14,seas,15,True,3.45,51.75
14,fisher,15,True,3.21,48.15
14,prawn,15,,3.21,48.15
14,walleye,15,,3.21,48.15
14,coastal waters,15,,3.21,48.15
14,wetlands,15,,3.21,48.15
14,scallops,15,,3.21,48.15
14,overfishing,14,True,8.51,119.14
14,estuary,14,True,4.25,59.5
14,fishers,14,,3.21,44.94
14,inshore,14,,3.21,44.94
14,freshwater,14,,3.21,44.94
14,coral reef,14,,3.21,44.94
14,shoreline,14,,3.21,44.94
14,squid,14,,3.21,44.94
14,wildlife,13,,3.21,41.73
14,coho,13,,3.21,41.73
14,crayfish,13,,3.21,41.73
14,coral reefs,13,,3.21,41.73
14,beaches,13,,3.21,41.73
14,snook,13,,3.21,41.73
14,redfish,13,,3.21,41.73
14,dolphin,13,,3.21,41.73
14,clams,13,,3.21,41.73
14,clam,13,,3.21,41.73
14,biodiversity,12,,3.21,38.519999999999996
14,sockeye,12,,3.21,38.519999999999996
14,anglers,12,,3.21,38.519999999999996
14,lake trout,12,,3.21,38.519999999999996
14,flounder,12,,3.21,38.519999999999996
14,crabbing,12,,3.21,38.519999999999996
14,shorelines,12,,3.21,38.519999999999996
14,seabirds,12,,3.21,38.519999999999996
14,marlin,12,,3.21,38.519999999999996
14,shad,12,,3.21,38.519999999999996
14,crawfish,12,,3.21,38.519999999999996
14,conservation,11,True,14.32,157.52
14,maritime,11,True,5.14,56.54
14,beach,11,True,3.58,39.38
14,fishes,11,,3.21,35.31
14,rainbow trout,11,,3.21,35.31
14,steelhead,11,,3.21,35.31
14,coastline,11,,3.21,35.31
14,waters,11,,3.21,35.31
14,kelp,11,,3.21,35.31
14,prawns,11,,3.21,35.31
14,anchovies,11,,3.21,35.31
14,contamination,10,True,8.97,89.7
14,oceanic,10,True,6.78,67.8
14,hatchery,10,True,5.14,51.4
14,seabed,10,True,3.83,38.3
14,waterways,10,,3.21,32.1
14,mangroves,10,,3.21,32.1
14,sea creatures,10,,3.21,32.1
14,shallow waters,10,,3.21,32.1
14,coastlines,10,,3.21,32.1
14,marine mammals,10,,3.21,32.1
14,turtles,10,,3.21,32.1
14,marsh,10,,3.21,32.1
14,pesticides,10,,3.21,32.1
14,eel,10,,3.21,32.1
14,coast,9,True,9.17,82.53
14,pollution,9,True,8.61,77.49
14,pollutants,9,True,4.66,41.94
14,species,9,True,3.91,35.19
14,watermen,9,,3.21,28.89
14,brown trout,9,,3.21,28.89
14,mussel,9,,3.21,28.89
14,chinook,9,,3.21,28.89
14,corals,9,,3.21,28.89
14,ecosystems,9,,3.21,28.89
14,barrier islands,9,,3.21,28.89
14,habitats,9,,3.21,28.89
14,lakes,9,,3.21,28.89
14,tarpon,9,,3.21,28.89
14,humpbacks,9,,3.21,28.89
14,harbor,9,,3.21,28.89
14,shark,9,,3.21,28.89
14,tilapia,9,,3.21,28.89
14,groundwater,9,,3.21,28.89
14,bacteria,9,,3.21,28.89
14,arsenic,9,,3.21,28.89
14,eels,9,,3.21,28.89
14,pollutant,8,True,4.23,33.84
14,hatcheries,8,,3.21,25.68
14,forestry,8,,3.21,25.68
14,largemouth bass,8,,3.21,25.68
14,sea turtles,8,,3.21,25.68
14,dunes,8,,3.21,25.68
14,sediment,8,,3.21,25.68
14,marshes,8,,3.21,25.68
14,pacific ocean,8,,3.21,25.68
14,indian ocean,8,,3.21,25.68
14,rainforest,8,,3.21,25.68
14,contaminants,7,True,6.81,47.669999999999995
14,contaminated,7,True,6.66,46.620000000000005
14,mangrove,7,True,4.34,30.38
14,contaminant,7,True,4.31,30.169999999999998
14,aquatic,7,True,4.21,29.47
14,wildlife conservation,7,,3.21,22.47
14,ecological,7,,3.21,22.47
14,angler,7,,3.21,22.47
14,jellyfish,7,,3.21,22.47
14,fauna,7,,3.21,22.47
14,shipwrecks,7,,3.21,22.47
14,algae blooms,7,,3.21,22.47
14,manatee,7,,3.21,22.47
14,wetland,7,,3.21,22.47
14,otters,7,,3.21,22.47
14,atlantic ocean,7,,3.21,22.47
14,waterway,7,,3.21,22.47
14,seashore,7,,3.21,22.47
14,turtle,7,,3.21,22.47
14,sharks,7,,3.21,22.47
14,algae,7,,3.21,22.47
14,tomato,7,,3.21,22.47
14,smoked salmon,7,,3.21,22.47
14,fillet,7,,3.21,22.47
14,bass,7,,3.21,22.47
14,toxic,7,,3.21,22.47
14,particulates,7,,3.21,22.47
14,vocs,7,,3.21,22.47
14,sardines,7,,3.21,22.47
14,crappie,7,,3.21,22.47
14,bluefish,7,,3.21,22.47
14,fillets,7,,3.21,22.47
14,phosphorus,6,True,4.81,28.86
14,polluted,6,True,4.65,27.900000000000002
14,underwater,6,True,3.84,23.04
14,trawlers,6,,3.21,19.259999999999998
14,national marine fisheries,6,,3.21,19.259999999999998
14,angling,6,,3.21,19.259999999999998
14,marine mammal,6,,3.21,19.259999999999998
14,watershed,6,,3.21,19.259999999999998
14,poultry,6,,3.21,19.259999999999998
14,invertebrates,6,,3.21,19.259999999999998
14,habitat,6,,3.21,19.259999999999998
14,manatees,6,,3.21,19.259999999999998
14,great barrier reef,6,,3.21,19.259999999999998
14,sediments,6,,3.21,19.259999999999998
14,ocean currents,6,,3.21,19.259999999999998
14,dolphins,6,,3.21,19.259999999999998
14,sea turtle,6,,3.21,19.259999999999998
14,shore,6,,3.21,19.259999999999998
14,rivers,6,,3.21,19.259999999999998
14,shores,6,,3.21,19.259999999999998
14,marshland,6,,3.21,19.259999999999998
14,offshore,6,,3.21,19.259999999999998
14,island,6,,3.21,19.259999999999998
14,antarctic,6,,3.21,19.259999999999998
14,inlet,6,,3.21,19.259999999999998
14,bering sea,6,,3.21,19.259999999999998
14,humpback whales,6,,3.21,19.259999999999998
14,micro organisms,6,,3.21,19.259999999999998
14,marshlands,6,,3.21,19.259999999999998
14,meat,6,,3.21,19.259999999999998
14,chicken,6,,3.21,19.259999999999998
14,pork,6,,3.21,19.259999999999998
14,crab cakes,6,,3.21,19.259999999999998
14,boat,6,,3.21,19.259999999999998
14,environmental,6,,3.21,19.259999999999998
14,shrimping,6,,3.21,19.259999999999998
