SDG,keyword,frequency,elsevier_word,max_weight,relevance_score
9,manufacturing,34,True,17.76,603.84
9,innovation,26,True,10.15,263.90000000000003
9,technology,24,True,3.78,90.72
9,nanotechnology,20,,3.46,69.2
9,industries,18,True,7.57,136.26
9,manufacturers,18,,3.46,62.28
9,innovations,18,,3.46,62.28
9,innovative,17,True,13.35,226.95
9,fabrication,17,True,6.55,111.35
9,manufacturer,17,,3.46,58.82
9,components,16,,3.46,55.36
9,electronics,16,,3.46,55.36
9,industrial,15,True,15.46,231.9
9,sustainable,15,True,9.42,141.3
9,machinery,15,,3.46,51.9
9,manufacture,14,True,4.68,65.52
9,export,14,,3.46,48.44
9,suppliers,14,,3.46,48.44
9,infrastructure,13,True,18.16,236.08
9,industry,13,True,13.66,177.58
9,automation,13,True,4.38,56.94
9,technological,13,True,4.24,55.120000000000005
9,composites,13,,3.46,44.98
9,equipment,13,,3.46,44.98
9,technologies,13,,3.46,44.98
9,products,12,,3.46,41.519999999999996
9,design,12,,3.46,41.519999999999996
9,renewable energy,12,,3.46,41.519999999999996
9,factory,11,True,4.61,50.71
9,automotive,11,,3.46,38.06
9,welding,11,,3.46,38.06
9,textile,11,,3.46,38.06
9,exports,11,,3.46,38.06
9,engineering,11,,3.46,38.06
9,coatings,11,,3.46,38.06
9,supply chain,11,,3.46,38.06
9,makers,11,,3.46,38.06
9,robotics,11,,3.46,38.06
9,exporters,11,,3.46,38.06
9,companies,11,,3.46,38.06
9,manufactured,10,True,5.15,51.5
9,robotic,10,True,4.54,45.4
9,investment,10,True,3.97,39.7
9,packaging,10,,3.46,34.6
9,plastics,10,,3.46,34.6
9,bioscience,10,,3.46,34.6
9,computing,10,,3.46,34.6
9,hi tech,10,,3.46,34.6
9,entrepreneurship,10,,3.46,34.6
9,innovators,10,,3.46,34.6
9,telecommunications,9,True,4.87,43.83
9,robot,9,True,3.61,32.49
9,supplier,9,,3.46,31.14
9,factories,9,,3.46,31.14
9,polymer,9,,3.46,31.14
9,systems,9,,3.46,31.14
9,solutions,9,,3.46,31.14
9,photonics,9,,3.46,31.14
9,entrepreneurial,9,,3.46,31.14
9,telecommunication,9,,3.46,31.14
9,sustainability,9,,3.46,31.14
9,innovator,9,,3.46,31.14
9,wireless,9,,3.46,31.14
9,broadband,8,True,4.94,39.52
9,investments,8,True,3.61,28.88
9,precision,8,,3.46,27.68
9,foundry,8,,3.46,27.68
9,component,8,,3.46,27.68
9,designs,8,,3.46,27.68
9,sensors,8,,3.46,27.68
9,information technology,8,,3.46,27.68
9,convergence,8,,3.46,27.68
9,dealers,8,,3.46,27.68
9,firms,8,,3.46,27.68
9,inventors,8,,3.46,27.68
9,ict,8,,3.46,27.68
9,telephony,8,,3.46,27.68
9,efficiency,8,,3.46,27.68
9,telecom,8,,3.46,27.68
9,innovate,8,,3.46,27.68
9,robots,8,,3.46,27.68
9,eco friendly,7,True,5.49,38.43
9,materials,7,,3.46,24.22
9,production,7,,3.46,24.22
9,output,7,,3.46,24.22
9,aerospace,7,,3.46,24.22
9,logistics,7,,3.46,24.22
9,aluminum,7,,3.46,24.22
9,business,7,,3.46,24.22
9,diversified,7,,3.46,24.22
9,applied,7,,3.46,24.22
9,automobile,7,,3.46,24.22
9,devices,7,,3.46,24.22
9,structures,7,,3.46,24.22
9,biotechnology,7,,3.46,24.22
9,technological innovation,7,,3.46,24.22
9,incubator,7,,3.46,24.22
9,distributors,7,,3.46,24.22
9,retailers,7,,3.46,24.22
9,importers,7,,3.46,24.22
9,carmakers,7,,3.46,24.22
9,smart grid,7,,3.46,24.22
9,connectivity,7,,3.46,24.22
9,telco,7,,3.46,24.22
9,telecoms,7,,3.46,24.22
9,portfolio,7,,3.46,24.22
9,hedge funds,7,,3.46,24.22
9,creativity,7,,3.46,24.22
9,startups,7,,3.46,24.22
9,wimax,7,,3.46,24.22
9,voip,7,,3.46,24.22
9,machining,6,True,8.63,51.78
9,textiles,6,,3.46,20.759999999999998
9,printing,6,,3.46,20.759999999999998
9,metal,6,,3.46,20.759999999999998
9,construction,6,,3.46,20.759999999999998
9,furniture,6,,3.46,20.759999999999998
9,tool,6,,3.46,20.759999999999998
9,aftermarket,6,,3.46,20.759999999999998
9,engineered,6,,3.46,20.759999999999998
9,chemicals,6,,3.46,20.759999999999998
9,diagnostics,6,,3.46,20.759999999999998
9,optics,6,,3.46,20.759999999999998
9,imaging,6,,3.46,20.759999999999998
