SDG,keyword,frequency,elsevier_word,max_weight,relevance_score
13,emissions,71,True,10.22,725.62
13,renewable energy,71,,3.19,226.49
13,global warming,65,True,16.06,1043.8999999999999
13,climate change,59,True,26.61,1569.99
13,carbon dioxide,50,True,10.0,500.0
13,pollution,48,,3.19,153.12
13,renewables,43,,3.19,137.17
13,biofuel,42,,3.19,133.98
13,renewable,41,,3.19,130.79
13,co2,39,True,19.35,754.6500000000001
13,biofuels,39,,3.19,124.41
13,biomass,38,,3.19,121.22
13,greenhouse gas,37,True,16.4,606.8
13,greenhouse gases,37,True,8.69,321.53
13,carbon,37,True,8.05,297.85
13,fossil fuel,37,True,6.56,242.72
13,methane,36,True,5.5,198.0
13,carbon dioxide emissions,36,,3.19,114.84
13,greenhouse emissions,36,,3.19,114.84
13,ghg,35,True,7.49,262.15000000000003
13,kyoto protocol,35,True,5.43,190.04999999999998
13,fossil fuels,35,True,5.43,190.04999999999998
13,ghg emissions,35,True,4.42,154.7
13,greenhouse gas emissions,35,,3.19,111.64999999999999
13,co2 emissions,34,True,17.6,598.4000000000001
13,climate,34,True,12.12,412.08
13,carbon emissions,34,,3.19,108.46
13,greenhouse gas emission,32,,3.19,102.08
13,reducing carbon emissions,32,,3.19,102.08
13,emission,31,True,12.53,388.43
13,emission reductions,31,,3.19,98.89
13,carbon emission,31,,3.19,98.89
13,emission reduction,30,,3.19,95.7
13,reduce carbon emissions,30,,3.19,95.7
13,carbon dioxide co2,30,,3.19,95.7
13,carbon capture,29,True,7.09,205.60999999999999
13,carbon sequestration,28,,3.19,89.32
13,nox,27,,3.19,86.13
13,heat trapping gases,27,,3.19,86.13
13,environmental,26,True,4.88,126.88
13,air pollution,26,,3.19,82.94
13,nitrogen oxides,26,,3.19,82.94
13,energy,25,True,3.58,89.5
13,nitrogen oxide,25,,3.19,79.75
13,polluters,25,,3.19,79.75
13,polluting,25,,3.19,79.75
13,coal,25,,3.19,79.75
13,coal fired,24,,3.19,76.56
13,renewable fuels,24,,3.19,76.56
13,alternative fuels,24,,3.19,76.56
13,mercury emissions,23,,3.19,73.37
13,pollutant,23,,3.19,73.37
13,pollutants,23,,3.19,73.37
13,polluter,23,,3.19,73.37
13,carbon credits,23,,3.19,73.37
13,carbon offsets,23,,3.19,73.37
13,reducing greenhouse gas,23,,3.19,73.37
13,reduce greenhouse gas,23,,3.19,73.37
13,renewable energies,23,,3.19,73.37
13,particulate matter,22,,3.19,70.17999999999999
13,sulfur dioxide,22,,3.19,70.17999999999999
13,burning fossil fuels,22,,3.19,70.17999999999999
13,ethanol,22,,3.19,70.17999999999999
13,biodiesel,22,,3.19,70.17999999999999
13,acid rain,21,,3.19,66.99
13,ozone,21,,3.19,66.99
13,hydrogen,21,,3.19,66.99
13,zero emission,21,,3.19,66.99
13,bio fuels,21,,3.19,66.99
13,climate action,20,,3.19,63.8
13,cleaner burning,20,,3.19,63.8
13,gases,19,True,4.19,79.61000000000001
13,emitters,19,,3.19,60.61
13,clean energy,19,,3.19,60.61
13,carbon footprint,18,True,10.62,191.16
13,kyoto,18,True,6.49,116.82000000000001
13,energy efficiency,18,,3.19,57.42
13,soot,18,,3.19,57.42
13,sustainability,18,,3.19,57.42
13,clean air,17,,3.19,54.23
13,carbon footprints,17,,3.19,54.23
13,deforestation,17,,3.19,54.23
13,smog,16,,3.19,51.04
13,nitrogen,16,,3.19,51.04
13,carbon neutral,16,,3.19,51.04
13,sustainable,16,,3.19,51.04
13,vocs,15,,3.19,47.85
13,epa,15,,3.19,47.85
13,copenhagen accord,15,,3.19,47.85
13,geothermal,15,,3.19,47.85
13,particulates,14,,3.19,44.66
13,bioenergy,14,,3.19,44.66
13,volatile organic compounds,13,,3.19,41.47
13,gasses,13,,3.19,41.47
13,smart grid,13,,3.19,41.47
13,natural gas,12,,3.19,38.28
13,environmental protection agency,12,,3.19,38.28
13,environmentally friendly,12,,3.19,38.28
13,bioethanol,12,,3.19,38.28
13,greener,12,,3.19,38.28
13,environmentally sustainable,12,,3.19,38.28
13,warming,11,True,12.26,134.85999999999999
13,fuel,11,,3.19,35.089999999999996
13,climate change ipcc,11,,3.19,35.089999999999996
13,environmental sustainability,11,,3.19,35.089999999999996
13,solar,11,,3.19,35.089999999999996
13,fuels,11,,3.19,35.089999999999996
13,environmental impacts,10,True,3.64,36.4
13,biodiversity,10,,3.19,31.9
13,unfccc,10,,3.19,31.9
13,mercury,10,,3.19,31.9
13,environmentally sound,10,,3.19,31.9
13,cellulosic ethanol,10,,3.19,31.9
13,ets,9,,3.19,28.71
13,carb,9,,3.19,28.71
13,diesel,9,,3.19,28.71
13,redd,9,,3.19,28.71
13,ecological,9,,3.19,28.71
13,water vapor,9,,3.19,28.71
13,arctic,8,True,3.31,26.48
13,emitted,8,,3.19,25.52
13,arsenic,8,,3.19,25.52
13,toxic chemicals,8,,3.19,25.52
13,eco,8,,3.19,25.52
13,cdm,8,,3.19,25.52
13,alternative energy,8,,3.19,25.52
13,wind energy,8,,3.19,25.52
13,liquid fuels,8,,3.19,25.52
13,algae,8,,3.19,25.52
13,ipcc,7,True,8.35,58.449999999999996
13,gas,7,True,3.97,27.790000000000003
13,air quality,7,,3.19,22.33
13,emitting,7,,3.19,22.33
13,efficiency,7,,3.19,22.33
13,emit,7,,3.19,22.33
13,combustion,7,,3.19,22.33
13,gigawatts,7,,3.19,22.33
13,greenest,7,,3.19,22.33
13,emitter,7,,3.19,22.33
13,offsets,7,,3.19,22.33
13,cleantech,7,,3.19,22.33
13,electricity,7,,3.19,22.33
13,bio diesel,7,,3.19,22.33
13,lng,7,,3.19,22.33
13,gasification,7,,3.19,22.33
13,drought,6,True,4.93,29.58
13,particulate,6,,3.19,19.14
13,pesticides,6,,3.19,19.14
13,copenhagen,6,,3.19,19.14
13,conservation,6,,3.19,19.14
13,crop yields,6,,3.19,19.14
13,contaminant,6,,3.19,19.14
13,aerosols,6,,3.19,19.14
13,hydrogen sulfide,6,,3.19,19.14
13,toxins,6,,3.19,19.14
13,dioxins,6,,3.19,19.14
13,carcinogens,6,,3.19,19.14
13,atmospheric,6,,3.19,19.14
13,hydrogen fuel,6,,3.19,19.14
13,hydrogen powered,6,,3.19,19.14
13,tar sands,6,,3.19,19.14
13,environmentally responsible,6,,3.19,19.14
13,evs,6,,3.19,19.14
13,carbon trust,6,,3.19,19.14
13,greening,6,,3.19,19.14
13,recycling,6,,3.19,19.14
13,pollute,6,,3.19,19.14
13,photovoltaics,6,,3.19,19.14
13,hydro,6,,3.19,19.14
13,biogas,6,,3.19,19.14
13,feedstocks,6,,3.19,19.14
13,feedstock,6,,3.19,19.14
13,petroleum,6,,3.19,19.14
13,nuclear,6,,3.19,19.14
13,climatic,5,True,3.64,18.2
13,temperature,5,True,3.48,17.4
13,congestion,5,,3.19,15.95
13,internal combustion engines,5,,3.19,15.95
13,environmental degradation,5,,3.19,15.95
13,ecosystems,5,,3.19,15.95
13,sustainable development,5,,3.19,15.95
13,ozone layer,5,,3.19,15.95
13,organic compounds,5,,3.19,15.95
13,ammonia,5,,3.19,15.95
13,sulfur,5,,3.19,15.95
13,carbon monoxide,5,,3.19,15.95
13,benzene,5,,3.19,15.95
13,environmentally conscious,5,,3.19,15.95
13,environmental stewardship,5,,3.19,15.95
13,waste,5,,3.19,15.95
13,recycle,5,,3.19,15.95
13,legally binding,5,,3.19,15.95
13,wind farms,5,,3.19,15.95
13,wind farm,5,,3.19,15.95
13,switchgrass,5,,3.19,15.95
13,cogeneration,5,,3.19,15.95
13,groundwater,5,,3.19,15.95
13,contaminants,5,,3.19,15.95
13,fuel cell,5,,3.19,15.95
13,aquaculture,5,,3.19,15.95
13,smokestacks,4,,3.19,12.76
13,desertification,4,,3.19,12.76
13,environmentalism,4,,3.19,12.76
13,poorer nations,4,,3.19,12.76
13,tropical forests,4,,3.19,12.76
13,oceans,4,,3.19,12.76
13,melting ice,4,,3.19,12.76
13,yvo de boer,4,,3.19,12.76
13,globalization,4,,3.19,12.76
13,warmer,4,,3.19,12.76
13,el nino,4,,3.19,12.76
13,permafrost,4,,3.19,12.76
13,methane gas,4,,3.19,12.76
13,chlorine,4,,3.19,12.76
13,nitrate,4,,3.19,12.76
13,vapors,4,,3.19,12.76
13,chemicals,4,,3.19,12.76
13,phosphorus,4,,3.19,12.76
13,eco friendly,4,,3.19,12.76
13,solar thermal,4,,3.19,12.76
13,hydropower,4,,3.19,12.76
13,photovoltaic,4,,3.19,12.76
13,desalination,4,,3.19,12.76
13,pfoa,4,,3.19,12.76
13,wmo,4,,3.19,12.76
13,energy agency,4,,3.19,12.76
13,internal combustion engine,4,,3.19,12.76
13,vegetable oils,4,,3.19,12.76
13,hybrid electric,4,,3.19,12.76
13,polluted,4,,3.19,12.76
13,toxic,4,,3.19,12.76
13,toxic waste,4,,3.19,12.76
13,weather,4,,3.19,12.76
13,fertilizer,4,,3.19,12.76
13,nanotechnology,4,,3.19,12.76
13,solar power,4,,3.19,12.76
13,toxic substances,4,,3.19,12.76
13,hazardous chemicals,4,,3.19,12.76
13,toxic fumes,4,,3.19,12.76
13,soybean,4,,3.19,12.76
13,agribusiness,4,,3.19,12.76
13,mitigation,3,True,7.18,21.54
13,change,3,True,6.57,19.71
13,footprint,3,True,6.43,19.29
13,fossil,3,True,5.81,17.43
13,noise,3,,3.19,9.57
13,pachauri,3,,3.19,9.57
13,ecology,3,,3.19,9.57
13,environment,3,,3.19,9.57
13,environmentalists,3,,3.19,9.57
13,polar ice,3,,3.19,9.57
13,warmer temperatures,3,,3.19,9.57
13,glaciers,3,,3.19,9.57
13,la nina,3,,3.19,9.57
13,melting,3,,3.19,9.57
13,el niño,3,,3.19,9.57
13,antarctic ice,3,,3.19,9.57
13,climatologist,3,,3.19,9.57
